state;x;y
Acre;-511;140
Alagoas;380;117
Amapá;-9;409
Amazonas;-325;253
Bahia;210;63
Ceará;303;266
Distrito Federal;101;-38
Espírito Santo;282;-139
Goiás;49;-43
Maranhão;146;264
Mato Grosso;-96;29
Mato Grosso do Sul;-81;-154
Minas Gerais;168;-105
Pará;-72;255
Paraíba;380;183
Paraná;-8;-265
Pernambuco;323;153
Piauí;200;169
Rio de Janeiro;235;-204
Rio Grande do Norte;376;229
Rio Grande do Sul;-46;-394
Rondônia;-310;89
Roraima;-250;432
Santa Catarina;58;-333
São Paulo;59;-193
Sergipe;364;98
Tocantins;75;113
